State,Women_Salary,Men_Salary
Washington,55945,81723
Washington,44051,56173
Washington,42701,59483
Washington,36179,47205
Washington,41030,50314
Washington,43069,55827
Washington,62242,81409
Washington,50344,65186
Washington,52292,62054
Washington,41973,52410
Oregon,50053,60878
Oregon,36484,43895
Oregon,43512,51878
Oregon,37151,46767
Oregon,40787,51059
Califorina ,40925,50060
Califorina ,54357,62496
Califorina ,43355,52190
Califorina ,52867,65220
Califorina ,50348,57072
Califorina ,41920,46392
Califorina ,50257,60022
Califorina ,37402,47363
Califorina ,42612,51195
Califorina ,41837,50570
Califorina ,57999,72216
Califorina ,80104,89462
Califorina ,60888,62472
Califorina ,61866,71620
Califorina ,60359,79550
Califorina ,31447,38709
Califorina ,66264,97570
Califorina ,80212,112392
Califorina ,50424,61734
Califorina ,44259,49515
Califorina ,28649,35981
Califorina ,42154,49283
Califorina ,42573,51725
Califorina ,46253,52241
Califorina ,48484,60778
Califorina ,47076,52001
Califorina ,50696,58069
Califorina ,53227,56308
Califorina ,36421,36323
Califorina ,52082,61944
Califorina ,40368,47111
Califorina ,40735,42124
Califorina ,70536,100034
Califorina ,32222,35154
Califorina ,35508,40583
Califorina ,36659,44420
Califorina ,50045,47756
Califorina ,42307,46226
Califorina ,49546,60710
Califorina ,28663,31488
Califorina ,35190,41101
Califorina ,47084,60897
Califorina ,40471,40514
Califorina ,32396,35224
Califorina ,60652,83129
Califorina ,35709,36118
Califorina ,47038,50837
Califorina ,52494,70988
Califorina ,50980,61096
Califorina ,43273,55787
Califorina ,33620,36628
Califorina ,59689,72188
Califorina ,48117,55839
Alaska,47472,57943
Nevada,31630,53590
Nevada,37593,48247
Nevada,45182,53972
Nevada,37572,47003
Idaho,35634,48433
Idaho,33332,44408
Utah,37479,53280
Utah,38744,56753
Utah,37905,49678
Utah,35893,52447
Arizona,35784,43557
Arizona,37498,46527
Arizona,32045,38256
Arizona,37460,45179
Arizona,46812,60199
Arizona,48901,60632
Arizona,31766,30504
Arizona,42360,53413
Arizona,41526,48219
Montana,35964,45616
Wyoming,40200,51948
Colorado,48025,55250
Colorado,50441,61361
Colorado,37925,47979
Colorado,42849,60220
Colorado,41947,50725
Colorado,40794,59165
Colorado,42407,52103
New Mexico,38796,44538
New Mexico,30975,41537
New Mexico,37225,43192
Texas,30862,47295
Texas,49975,60572
Texas,53976,80057
Texas,36256,50416
Texas,36033,41847
Texas,44055,51722
Texas,50191,60175
Texas,41647,58377
Texas,35046,39406
Texas,49082,58521
Texas,36571,50897
Texas,42476,42148
Texas,32205,44260
Texas,41846,57985
Texas,30193,36826
Texas,32322,39302
Texas,38779,47194
Texas,34221,40738
Texas,31579,44107
Texas,36274,40221
Texas,47554,53795
Texas,42751,68612
Texas,31567,41256
Texas,49042,60651
Texas,45304,56963
Texas,51395,67218
Texas,34709,48610
Texas,31918,39903
Texas,29834,63910
Texas,36520,39339
Texas,42816,52202
Texas,48761,52021
Texas,28322,32624
Texas,27614,36308
Texas,35850,39953
Texas,38975,53431
Oklahoma,37458,50121
Oklahoma,30963,41437
Oklahoma,35378,46125
Oklahoma,35595,46463
Oklahoma,36207,46203
Kansas,32199,41988
Kansas,37164,46587
Kansas,46305,61632
Kansas,35905,48624
Hawaii,42183,52477
Hawaii,41007,50387
Nebraska,38527,49413
Nebraska,42596,54928
Nebraska,43535,45666
